event_date,event_name,event_location,fight_id,weight_class,method,method_detail,round,time,fight_time_seconds,time_format,referee,fighter,opponent,result,kd,sig_str_landed,sig_str_attempted,sig_str_pct,total_str_landed,total_str_attempted,td_landed,td_attempted,td_pct,sub_att,rev,ctrl_sec,ss_head_landed,ss_head_attempted,ss_body_landed,ss_body_attempted,ss_leg_landed,ss_leg_attempted,ss_distance_landed,ss_distance_attempted,ss_clinch_landed,ss_clinch_attempted,ss_ground_landed,ss_ground_attempted,r1_kd,r1_sig_str_landed,r1_sig_str_attempted,r1_total_str_landed,r1_total_str_attempted,r1_td_landed,r1_td_attempted,r1_sub_att,r1_rev,r1_ctrl_sec,r1_ss_head_landed,r1_ss_head_attempted,r1_ss_body_landed,r1_ss_body_attempted,r1_ss_leg_landed,r1_ss_leg_attempted,r1_ss_distance_landed,r1_ss_distance_attempted,r1_ss_clinch_landed,r1_ss_clinch_attempted,r1_ss_ground_landed,r1_ss_ground_attempted,r2_kd,r2_sig_str_landed,r2_sig_str_attempted,r2_total_str_landed,r2_total_str_attempted,r2_td_landed,r2_td_attempted,r2_sub_att,r2_rev,r2_ctrl_sec,r2_ss_head_landed,r2_ss_head_attempted,r2_ss_body_landed,r2_ss_body_attempted,r2_ss_leg_landed,r2_ss_leg_attempted,r2_ss_distance_landed,r2_ss_distance_attempted,r2_ss_clinch_landed,r2_ss_clinch_attempted,r2_ss_ground_landed,r2_ss_ground_attempted,r3_kd,r3_sig_str_landed,r3_sig_str_attempted,r3_total_str_landed,r3_total_str_attempted,r3_td_landed,r3_td_attempted,r3_sub_att,r3_rev,r3_ctrl_sec,r3_ss_head_landed,r3_ss_head_attempted,r3_ss_body_landed,r3_ss_body_attempted,r3_ss_leg_landed,r3_ss_leg_attempted,r3_ss_distance_landed,r3_ss_distance_attempted,r3_ss_clinch_landed,r3_ss_clinch_attempted,r3_ss_ground_landed,r3_ss_ground_attempted,r4_kd,r4_sig_str_landed,r4_sig_str_attempted,r4_total_str_landed,r4_total_str_attempted,r4_td_landed,r4_td_attempted,r4_sub_att,r4_rev,r4_ctrl_sec,r4_ss_head_landed,r4_ss_head_attempted,r4_ss_body_landed,r4_ss_body_attempted,r4_ss_leg_landed,r4_ss_leg_attempted,r4_ss_distance_landed,r4_ss_distance_attempted,r4_ss_clinch_landed,r4_ss_clinch_attempted,r4_ss_ground_landed,r4_ss_ground_attempted,r5_kd,r5_sig_str_landed,r5_sig_str_attempted,r5_total_str_landed,r5_total_str_attempted,r5_td_landed,r5_td_attempted,r5_sub_att,r5_rev,r5_ctrl_sec,r5_ss_head_landed,r5_ss_head_attempted,r5_ss_body_landed,r5_ss_body_attempted,r5_ss_leg_landed,r5_ss_leg_attempted,r5_ss_distance_landed,r5_ss_distance_attempted,r5_ss_clinch_landed,r5_ss_clinch_attempted,r5_ss_ground_landed,r5_ss_ground_attempted
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",f1cb2e7ef096ec7c,Welterweight Bout,KO/TKO,,3,4:28,868,3 Rnd (5-5-5),Jim Perdios,Tahir Abdullayev,Jefferson Nascimento,W,0,37,87,0.42,60,111,2,6,0.33,0,0,192,26,74,8,10,3,3,14,55,4,6,19,26,0,5,20,5,20,0,1,0,0,0,2,16,1,2,2,2,4,18,1,2,0,0,0,6,24,6,24,0,1,0,0,0,4,22,1,1,1,1,6,24,0,0,0,0,0,26,43,49,67,2,4,0,0,192,20,36,6,7,0,0,4,13,3,4,19,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",f1cb2e7ef096ec7c,Welterweight Bout,KO/TKO,,3,4:28,868,3 Rnd (5-5-5),Jim Perdios,Jefferson Nascimento,Tahir Abdullayev,L,0,35,72,0.48,54,100,0,1,0.0,0,0,33,11,38,19,26,5,8,33,70,2,2,0,0,0,7,15,7,15,0,1,0,0,25,1,6,5,7,1,2,6,14,1,1,0,0,0,15,34,15,34,0,0,0,0,0,7,21,5,10,3,3,15,34,0,0,0,0,0,13,23,32,51,0,0,0,0,8,3,11,9,9,1,3,12,22,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",d83294b031502177,Middleweight Bout,Decision - Unanimous,,3,5:00,900,3 Rnd (5-5-5),Marc Goddard,Ikram Aliskerov,Brunno Ferreira,W,0,47,98,0.47,114,179,5,6,0.83,1,0,533,32,80,9,12,6,6,36,84,0,1,11,13,0,15,29,39,57,2,3,0,0,164,9,23,2,2,4,4,14,27,0,1,1,1,0,20,39,24,45,2,2,0,0,150,13,31,5,6,2,2,17,35,0,0,3,4,0,12,30,51,77,1,1,1,0,219,10,26,2,4,0,0,5,22,0,0,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",d83294b031502177,Middleweight Bout,Decision - Unanimous,,3,5:00,900,3 Rnd (5-5-5),Marc Goddard,Brunno Ferreira,Ikram Aliskerov,L,0,19,55,0.34,23,61,0,1,0.0,0,0,7,13,48,3,4,3,3,19,55,0,0,0,0,0,6,10,7,12,0,0,0,0,0,3,7,1,1,2,2,6,10,0,0,0,0,0,10,26,11,28,0,1,0,0,7,8,24,1,1,1,1,10,26,0,0,0,0,0,3,19,5,21,0,0,0,0,0,2,17,1,2,0,0,3,19,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",c13dc0cccef263f7,Lightweight Bout,KO/TKO,,2,0:15,315,5 Rnd (5-5-5-5-5),Marc Goddard,Rafael Fiziev,Manuel Torres,W,1,25,39,0.64,28,43,2,2,1.0,0,0,42,13,21,2,4,10,14,16,27,3,5,6,7,0,15,25,18,29,2,2,0,0,36,4,8,1,3,10,14,14,24,0,0,1,1,1,10,14,10,14,0,0,0,0,6,9,13,1,1,0,0,2,3,3,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",c13dc0cccef263f7,Lightweight Bout,KO/TKO,,2,0:15,315,5 Rnd (5-5-5-5-5),Marc Goddard,Manuel Torres,Rafael Fiziev,L,0,22,52,0.42,26,56,0,0,0.0,0,0,6,16,45,4,5,2,2,20,48,2,4,0,0,0,21,51,25,55,0,0,0,0,6,15,44,4,5,2,2,20,48,1,3,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",ae0a91c8f92f4758,Bantamweight Bout,Decision - Unanimous,,3,5:00,900,3 Rnd (5-5-5),Rich Mitchell,Bekzat Almakhan,Jean Matsumoto,L,1,69,159,0.43,70,160,0,0,0.0,0,0,2,59,148,9,10,1,1,65,155,4,4,0,0,1,21,37,21,37,0,0,0,0,2,17,32,3,4,1,1,20,36,1,1,0,0,0,28,65,29,66,0,0,0,0,0,24,61,4,4,0,0,27,64,1,1,0,0,0,20,57,20,57,0,0,0,0,0,18,55,2,2,0,0,18,55,2,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",ae0a91c8f92f4758,Bantamweight Bout,Decision - Unanimous,,3,5:00,900,3 Rnd (5-5-5),Rich Mitchell,Jean Matsumoto,Bekzat Almakhan,W,0,79,229,0.34,89,241,2,10,0.2,0,0,98,44,176,11,21,24,32,70,211,6,14,3,4,0,20,52,25,57,1,4,0,0,37,8,36,3,4,9,12,16,47,1,1,3,4,0,33,95,35,97,0,4,0,0,32,21,79,6,9,6,7,30,89,3,6,0,0,0,26,82,29,87,1,2,0,0,29,15,61,2,8,9,13,24,75,2,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",81cde317c156723b,Flyweight Bout,Submission,,3,3:33,813,3 Rnd (5-5-5),Herb Dean,Asu Almabayev,Charles Johnson,W,0,28,51,0.54,73,102,6,9,0.66,1,0,528,15,34,7,10,6,7,18,37,1,1,9,13,0,8,17,23,36,3,4,0,0,199,6,13,0,2,2,2,5,11,0,0,3,6,0,14,27,26,40,2,4,0,0,146,5,16,6,7,3,4,10,22,1,1,3,4,0,6,7,24,26,1,1,1,0,183,4,5,1,1,1,1,3,4,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-27,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",81cde317c156723b,Flyweight Bout,Submission,,3,3:33,813,3 Rnd (5-5-5),Herb Dean,Charles Johnson,Asu Almabayev,L,0,21,45,0.46,32,57,0,0,0.0,1,0,0,5,19,8,14,8,12,18,41,3,4,0,0,0,4,11,8,16,0,0,0,0,0,0,2,4,6,0,3,2,9,2,2,0,0,0,15,30,19,34,0,0,0,0,0,4,15,4,7,7,8,14,28,1,2,0,0,0,2,4,5,7,0,0,1,0,0,1,2,0,1,1,1,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
